timestamp,attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,command,command_encoded
2026-02-01 17:41:23.913404,46,82,728588,125991,84203,27460,24627,20933,9967,34669,s,3
2026-02-01 17:41:24.907182,44,88,651927,55599,54084,16683,10425,5682,3510,44931,s,3
2026-02-01 17:41:25.922177,38,91,695991,98970,75806,30919,19578,24239,9033,67740,s,3
2026-02-01 17:41:26.916886,36,95,789690,113118,45055,25904,14952,24045,10201,93760,s,3
2026-02-01 17:42:10.619229,51,40,564864,132843,36558,25549,17266,19714,13694,180796,s,3
2026-02-01 17:42:11.591715,70,62,859534,134151,36741,25517,17470,17421,13732,172179,s,3
2026-02-01 17:42:12.604388,57,64,849093,194257,36499,23036,18539,22226,11098,30747,s,3
2026-02-01 17:42:13.599285,57,52,479218,94496,6251,3498,7607,8740,1242,10070,s,3
2026-02-01 17:42:14.593498,53,41,505349,120952,4978,4638,11680,12653,2163,13537,s,3
2026-02-01 17:42:15.584637,50,25,469303,45192,3937,4998,6044,5218,1756,30391,s,3
2026-02-01 17:42:16.581828,44,21,440718,57712,14274,11689,7414,8088,4796,31396,s,3
2026-02-01 17:42:17.574316,43,28,578310,46800,17780,12185,5833,5168,5589,116510,s,3
2026-02-01 17:42:18.566824,40,39,1221425,89174,45673,41186,23218,25155,9666,117784,s,3
2026-02-01 17:42:19.559328,40,59,1564133,111994,52060,41782,29654,28222,8869,209865,s,3
2026-02-01 17:43:09.202675,44,27,144244,95756,37171,35628,15041,20742,12905,171152,s,3
2026-02-01 17:43:10.221385,65,42,177905,98628,37429,35832,14756,20705,13090,174615,s,3
2026-02-01 17:43:11.188912,63,37,972347,122923,38938,37608,19390,22019,13755,42679,s,3
2026-02-01 17:43:12.181677,56,43,898575,58126,5531,4827,9411,5135,2971,23180,s,3
2026-02-01 17:43:13.176555,50,41,1017894,63519,6425,10227,11724,9182,3161,22072,s,3
2026-02-01 17:43:14.171392,48,37,516513,46426,14298,13545,20468,12931,5662,34302,s,3
2026-02-01 17:43:15.170218,52,37,1105398,76204,18571,21243,24986,14980,7985,156340,s,3
2026-02-01 17:43:16.155332,58,40,1307004,78595,20484,18128,24987,15065,8257,155051,s,3
2026-02-01 17:43:17.171580,64,47,1226649,71851,11422,14517,10248,9155,4717,148540,s,3
2026-02-01 17:43:18.146601,62,52,922868,32665,13861,7911,8499,7430,2548,23694,s,3
2026-02-01 17:44:00.854803,33,42,942883,44928,24402,14362,9097,9311,3509,77654,s,3
2026-02-01 17:44:01.856970,49,67,1319291,139516,110962,85274,53657,22951,19678,105156,s,3
2026-02-01 17:44:02.839914,48,72,1481264,277496,112015,95344,66337,25784,19774,129728,s,3
2026-02-01 17:44:03.880998,48,71,1302384,277341,113533,92669,67716,25677,20527,128047,s,3
2026-02-01 17:44:04.851188,48,71,981520,245951,42367,42229,30328,23750,7322,100329,s,3
2026-02-01 17:44:05.842534,48,68,977568,106436,22575,26509,10972,16429,4496,34224,s,3
2026-02-01 17:44:06.838697,44,62,983312,110028,21915,26275,10385,16072,3683,30818,s,3
2026-02-01 17:44:07.828819,40,53,519213,39584,10678,10901,4163,4851,2024,11583,s,3
2026-02-01 17:44:08.813038,40,52,433511,23505,11362,9347,3909,4502,1722,8034,s,3
2026-02-01 17:44:09.793742,44,58,958661,46848,16609,21874,5572,7635,6779,30613,s,3
2026-02-01 17:44:33.632900,38,36,837890,270508,72320,31865,19033,66417,12576,565222,s,3
2026-02-01 17:44:34.625348,58,54,264542,75128,27698,23828,10734,16626,9254,123406,s,3
2026-02-01 17:44:35.619109,59,57,586731,110448,32508,23112,9475,15260,7428,28318,s,3
